Protein	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
AGFG1	147959	189231	132846	57169.7	82606.4	51381.7	146224	125614	172279	16196.5	12690.4	20308.6	52315.8	46860.3	56294.8	206546	201874	274067	2041.1	0	3817.17	3067.08	1723.05	6564.21
HNRNPF	52716.1	38833	77048	178130	239279	159529	31803.8	24687.6	40679	7919.33	9404.46	8469.21	9502.44	7244.36	13506.3	130452	132548	165134	6336.26	17047.4	14653.7	6005.28	9637.24	7643.18
STAT2	20854.5	21814.5	31009.8	0	4118.15	1928.08	12003.3	11562.3	17415.7	3258.09	1955.07	2713.07	6194.16	6801.17	9403.25	16976.4	19295.5	31510.8	0	0	0	0	0	0
GTF2A1	21240.7	17707.6	12325.4	59458.9	92801.2	55448.8	17834.5	15994.5	17965.6	0	0	0	9927.31	0	0	62884	63701	38743.3	0	0	0	0	0	0
MSH6	15147.4	17948.5	24265.6	27159.8	41596.3	22183.6	5745.17	8665.25	13414.3	2031.06	1948.06	0	3966.11	7611.2	4506.11	30975.9	28836.9	37184	0	0	0	0	0	1754.05
KIF11	52643.6	55373.7	72113	5365.24	8514.23	5546.16	43436.3	39065.3	54541.8	5971.17	5352.15	5489.18	38285.2	39973.2	46407.3	48515.4	52174.5	71581.6	0	0	0	0	678.026	2078.08
VAV2	3947.13	3285.1	3830.12	0	0	0	3731.11	0	4514.12	0	0	0	0	0	1707.05	2541.07	3284.14	5511.15	0	0	0	0	0	0
ZNF136	0	0	0	9975.28	13096.3	7723.2	0	0	0	0	0	0	0	0	0	10963.3	0	4408.11	0	0	0	0	0	0
ZNF143	0	0	0	0	5835.12	3917.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM5	0	9875.37	13827.5	34305.2	54470.7	27096.7	12836.4	6768.24	0	3527.12	0	0	7644.26	6626.23	6213.2	33721.2	40565.5	53557	0	0	0	0	0	0
HK2	5412.19	5792.17	7843.27	4820.12	5241.14	1239.04	4939.12	5077.13	9005.31	6973.17	0	4060.12	7593.23	2197.08	2908.1	5421.14	11242.3	12194.3	0	0	0	0	5783.14	0
EFNB2	0	0	0	0	0	0	0	0	0	2122.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THOP1	3809.11	5297.15	6431.18	5021.14	5033.13	3328.09	6344.16	5124.14	8399.2	5096.13	6144.16	4155.11	1645.04	2145.06	3636.09	2709.08	8501.23	10555.3	7739.18	8715.24	7635.19	3228.09	6792.18	1963.05
AKR1C2	7314.25	6800.22	10268.4	6295.19	7437.22	5719.2	3476.13	3661.12	15305.4	5444.15	5376.18	1994.08	3522.09	3725.12	4606.13	4865.17	8215.31	16593.6	6667.22	4514.12	3951.14	2111.06	6308.25	4462.13
CAPZA1	45468.3	40836.2	72367	21441.7	40509.1	17782.5	41461.2	28806.9	52923.5	10290.3	13064.4	12705.4	12488.4	12244.4	14797.4	34969	38525.1	55793.5	8101.22	13017.4	8438.25	7822.23	9330.27	7894.21
CRIP2	7457.27	9689.24	10161.4	2351.08	3940.15	1670.05	10326.4	7949.28	11497.4	0	0	0	5035.12	0	0	7976.28	4825.18	6767.27	0	0	0	0	0	0
NUP98	116307	107866	170506	305186	483622	252663	64308	58611.9	99362	6049.16	8078.21	8742.22	20714.5	22707.5	20873.5	145728	161286	208342	1774.05	1645.04	0	4154.1	4171.11	4458.13
BLVRA	11962.3	11841.4	21059.6	9807.35	15911.4	10951.3	6952.27	5519.19	12892.3	3476.13	3607.1	1398.04	4093.15	3761.12	3091.11	7597.21	10030.4	20746.6	2087.06	3250.11	3946.11	1415.04	1800.07	2437.09
SLC25A1	13950.3	14107.3	27373.7	4990.16	10067.3	5453.14	12360.3	18436.6	31779.1	1267.04	3659.09	0	3133.09	0	2049.07	13720.4	11760.4	12256.4	0	1878.06	1724.06	0	0	0
PPP5C	4623.12	6713.18	5953.16	11858.4	14883.4	5959.18	3212.1	5356.14	5983.17	6227.18	7251.19	3860.11	4369.11	3715.09	0	2066.08	7479.2	12449.4	5125.12	9034.22	8856.23	6003.16	7713.19	8738.24
PLK1	48265.6	42261.4	62763.2	19083.6	41799.4	18651.6	26761.9	24727.8	36737.2	6858.23	6470.21	5802.2	32354	33218.2	34686.1	36804.2	38851.3	43455.5	0	0	0	0	0	0
DAPK1	5849.24	2255.06	7104.24	0	0	0	47216.2	47705.2	49536.7	0	0	0	0	0	0	8245.28	8110.27	12827.5	0	0	0	0	0	0
ARFIP2	24402.7	22522.7	19566.6	13110.4	17261.5	16406.5	22495.7	22365.7	25538.7	0	3708.11	2951.09	16673.5	8808.26	10511.3	35928.1	28047.8	24925.7	0	0	0	0	0	0
ARFIP1	17405.5	15167.5	21897.6	0	9585.28	0	20983.6	15469.5	21208.7	0	0	0	5098.16	5715.17	5962.17	22089.6	23667.8	25691.8	0	0	776.021	0	0	0
ACLY	63941.8	70852.1	97962.8	38017	56493.5	32307.9	58353.5	57098.4	68616.8	20877.5	24477.6	18879.5	32440.9	28093.8	32286.8	64359.8	87247.7	100828	11787.3	22754.6	18280.5	11794.3	19055.5	18655.5
SUCLG1	0	0	0	0	2149.09	0	0	0	0	0	0	0	0	0	0	0	0	15664.7	0	0	0	0	0	0
MVD	0	0	0	0	0	0	0	0	0	2747.07	0	0	0	0	0	0	0	2477.07	0	2251.06	2920.07	0	0	0
RABGGTB	5105.16	0	3626.11	6586.18	7357.2	3160.08	0	2661.08	3909.11	0	2743.08	0	2010.06	3346.09	1890.06	0	3374.1	4926.14	2006.06	3721.11	0	1750.05	0	0
COPB1	77256.1	94416.6	89579.8	46644.3	73920.9	40257	34565.9	26828.7	30644	22351.6	21713.6	5729.15	21230.5	19312.5	22153.6	44459.2	40500	38976	11280.3	24668.6	22171.5	15658.4	18252.4	17746.4
COPA	89193.6	86121.6	122348	32162.8	45170.3	27741.8	54728.6	52036.6	70251	16966.5	18018.5	15853.5	40209.2	32454.9	34162	89136.7	86909.6	114573	4014.12	6692.15	5516.15	3747.09	5380.16	7645.21
AP2S1	8628.24	4906.13	10058.2	2919.09	3127.09	321.01	5612.15	3116.08	6267.16	0	0	0	3235.08	0	0	4579.11	8137.22	3824.11	0	0	0	0	0	0
HCCS	8083.27	8198.25	9771.35	5947.2	6469.21	3859.13	8502.28	7463.24	15902.6	5721.18	6456.21	4394.13	0	2787.09	1303.04	0	9653.32	16106.5	5884.19	5559.2	6407.2	2061.07	5671.19	6790.2
TTC3	23591.6	8719.31	17114.5	0	0	0	3547.13	2708.1	6836.19	0	0	0	688.023	1308.05	1620.06	7621.25	7443.2	9752.35	0	0	0	0	0	0
SMTN	1242.05	2074.07	5804.17	7039.17	9424.22	2951.08	4624.11	0	5981.16	0	0	0	0	0	0	1990.1	1974.07	4315.12	0	0	0	0	0	0
SLC16A1	27910.9	19652.6	32751.1	15530.5	23385.8	5592.18	15946.6	10388.3	17211.6	0	6361.21	0	7074.21	8404.27	6292.23	21455.7	17797.6	14297.5	895.025	0	0	3065.1	2512.08	0
IST1	15154.4	9130.23	16556.4	0	0	0	16978.4	11384.2	17175.4	0	0	0	2274.08	4363.11	1812.07	18494.4	16759.4	12095.3	0	0	0	0	0	0
SEC24C	20651.7	22877	28924.2	21536.5	29309	18142.7	16139.4	11641.3	20240.7	15256.6	13866.5	6866.26	7002.28	9072.36	9662.31	12104.5	22628	33624.2	12071.4	16195.6	12188.5	8015.28	10435.4	13863.5
SUB1	24888.8	21720.7	25871.8	73277.3	81867.2	49110.3	24353.7	18155.5	31812	6717.2	6505.19	5343.16	12284.4	13880.4	15420.5	69858.2	59364.8	52946.6	2048.06	3908.12	3611.12	6261.19	10440.3	5234.15
POLG	8595.4	3331.09	8359.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLNS1A	16123.5	13828.5	19379.7	9765.36	11214.4	32811.1	9066.33	8826.32	16373.6	10131.3	9944.33	5907.19	5991.2	5409.2	8018.25	0	14162.5	29600	7200.26	12004.4	8921.31	6435.23	7032.25	8563.28
BLM	5027.14	4978.15	6182.16	37247.1	50880.4	30333.8	4738.13	2065.06	6753.18	0	1192.03	0	2845.08	4410.13	5259.13	31487.9	36997.1	50730.5	0	0	0	0	0	0
RARS1	19433.7	22613.7	25820.8	16135.4	26857.9	14662.5	29295.8	29338.7	26010.8	11691.3	12146.3	8448.24	14858.4	14979.4	15419.4	15410.5	33800.9	41104.2	3302.1	5438.18	9230.23	5051.12	6806.17	10009.3
HIRA	0	8588.36	5652.15	4820.12	6992.17	4208.1	0	0	0	0	0	0	0	0	0	6990.19	12762.4	13002.4	0	0	0	0	0	0
ATXN3	0	0	0	2789.07	0	0	0	0	0	0	0	0	0	0	0	0	0	584.017	0	0	0	0	0	0
ATXN1	0	5006.13	6896.2	19884.5	35010.9	21262.6	0	7038.19	10141.3	0	0	0	2238.06	0	0	43665.2	40265.1	64762.7	0	0	0	6114.19	0	0
ATN1	0	0	0	11352.4	16119.5	9628.3	0	0	5789.18	0	0	0	0	0	0	20236.7	18431.6	23509.8	0	0	0	0	0	0
PMS1	22702.8	23315.6	30015.8	104291	156845	79924.8	36994.9	21353.7	34596.8	4138.15	6513.23	6497.21	16850.6	20862.7	19111.7	114126	96480.3	111428	0	0	0	5181.17	5114.13	6003.18
PMS2	0	0	3638.12	9775.38	9014.26	8840.29	0	0	0	0	0	0	0	0	0	5542.19	5985.21	7910.28	0	0	0	0	0	0
YARS1	15594.4	15093.4	25443.7	10672.3	10236.3	5453.17	13498.4	13286.4	20903.6	3160.08	3215.09	2260.06	6522.17	9365.27	6394.17	11493.3	21072.5	36415	1904.05	2216.06	6939.18	0	1585.04	0
USP14	11675.4	15008.5	14131.5	4026.13	5966.21	3374.1	20457	7019.22	11804.4	2269.08	2991.11	1819.06	2927.1	2210.08	2316.08	9987.33	14803.5	16750.6	1721.06	2303.08	0	0	1312.04	1286.05
PRKAG1	4886.15	19269.7	7105.22	6096.21	9759.29	1397.04	0	7389.18	14916.4	0	0	0	1848.06	1539.04	1219.04	3577.12	15083.4	19878.6	0	0	0	0	0	0
BCAT1	15568.4	13115.4	17763.5	10197.3	14835.4	7185.19	10397.3	6071.21	10156.3	11057.3	12032.3	6955.21	7249.23	7364.22	9365.27	0	6747.28	14257.6	8412.25	12503.4	14000.4	8417.27	9732.29	10705.3
RAD23B	0	1043.04	0	0	0	0	0	1175.04	0	0	0	0	0	0	0	2040.07	0	2739.09	0	0	0	0	0	0
AK2	5582.17	13839.4	14238.4	8395.24	16101.4	7780.23	3353.12	4658.13	15162.4	10509.3	9734.26	7284.22	6475.18	2744.07	8048.21	2429.07	16552.4	26609.8	7263.2	10819.3	8325.22	5648.15	9771.28	10819.3
PRRX1	0	1687.05	0	3698.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH18A1	83181.2	93929.5	102980	41038.2	66874.7	38125	31500.8	13734.4	22411.6	11066.3	14133.3	4537.11	17496.5	14283.4	16603.5	43596.2	33263.8	31053.9	9943.28	5290.14	5149.14	3962.11	11175.3	5402.15
NAPA	14056.5	13063.5	19131.7	4152.13	10505.4	5375.16	8237.29	6544.23	16257.6	3765.12	2406.08	1666.06	4842.18	2457.07	2802.1	8679.32	13481.5	21028.7	2785.09	3207.09	3919.13	838.03	3241.11	2297.07
EIF5	28455.9	29858.8	37548	7273.21	8075.26	4511.13	31792.8	28567.7	40082	7992.22	9511.3	8770.29	16005.5	13835.4	17381.5	35954.9	38830	59829.6	3162.09	7442.21	5368.15	3690.1	4630.14	1191.04
SLC12A2	3314.08	2445.07	5636.15	1801.05	2829.08	1464.03	5725.14	4597.13	8413.28	1926.04	0	0	1344.03	1315.04	1302.03	8385.19	8549.22	13759.3	0	0	0	0	0	0
PSMD4	6423.18	5002.14	4510.2	2737.14	5219.2	2505.08	7337.19	2798.13	3902.17	0	2897.08	0	1197.03	1404.06	0	6884.2	4934.14	6977.24	455.02	785.036	3400.09	409.019	0	1062.05
DRG2	18308.5	18961.5	32731.8	4876.14	8495.23	6161.15	14382.4	9797.26	17930.5	3044.08	4248.11	4374.1	8158.2	5678.14	8300.22	17362.5	17701.5	29165.7	0	0	0	0	1453.04	0
PLTP	0	0	0	0	0	0	0	0	4484.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSE1L	36188.1	38607.1	29920.7	26106.7	41424.2	27193.7	25432.7	23038.6	24600	9234.24	9595.28	13459.3	18181.5	11361.3	15352.4	23234.7	25509	32665.4	8101.21	7466.22	4457.12	4646.13	3325.09	3698.09
VCP	15448.5	12308.4	11840.4	10023.3	15894.5	6780.2	33138.1	25461.7	13096.5	6221.18	0	4647.15	8934.24	6944.21	7564.23	40020.2	19250.6	51413.4	0	0	13583.4	0	0	0
MFAP1	0	0	0	20890.8	34176.3	13725.5	1972.07	0	0	0	0	0	2409.09	2852.1	3232.12	17735.7	14042.6	20261.8	0	0	0	0	0	0
HADHB	4805.13	3626.11	17587.6	6773.18	7383.19	3582.11	6020.16	6551.19	6781.21	10688.4	8969.34	8948.29	2783.08	8305.29	3298.09	5557.14	13506.5	9690.29	4885.17	7578.2	10536.4	4328.11	6184.16	6646.25
AFDN	12043.4	11000.3	17250.6	0	4139.13	0	27333.7	21287.7	31605.1	15825.5	21310.6	16062.4	2789.11	4069.13	2354.1	18302.6	18879.6	23138.7	0	0	1876.06	0	0	0
MLLT6	0	0	0	0	0	4174.11	0	0	0	0	0	0	0	0	0	4393.14	5388.18	0	0	0	0	0	0	0
ELL	0	0	0	11891.3	6862.25	9282.25	0	0	0	0	0	0	0	0	0	0	12778.5	10633.4	0	0	0	0	0	0
NAP1L1	53780.9	40610.3	74180.4	5542.2	7295.24	4294.13	28409.9	25134.7	30393.9	9076.29	13148.4	9814.27	10897.4	13273.4	9287.28	39366.3	27368.9	36527.3	2497.08	2491.08	2530.08	1707.06	2010.07	1923.06
CASP6	0	0	0	599.02	0	764.026	0	2438.07	1550.04	602.019	0	0	0	0	0	0	0	2289.08	608.019	0	610.016	0	0	0
ADAR	33494.3	36721.3	65032.4	40623.2	53663.7	36851.1	26868.7	23517.8	39008.5	17842.5	14146.4	13902.4	34690	23889.7	34281.1	74236.9	82415.4	109063	7572.29	14183.4	12101.4	8874.23	12750.4	14973.4
TPD52	13976.5	15277.5	18123.6	5380.16	7712.25	3895.13	17399.6	18744.7	24470.8	2323.07	1293.05	1863.06	6576.22	5975.18	5140.15	23927.8	20861.7	26304.8	0	0	0	0	0	0
SEC13	10331.3	11459.3	11950.4	0	0	0	4685.15	0	0	0	0	0	0	0	0	0	8764.27	0	0	0	0	0	0	0
SNU13	8201.27	5717.19	11018.4	6867.22	9934.35	3119.09	7156.24	4688.16	8030.25	3609.12	7805.25	2446.09	2905.11	4233.13	2031.06	6366.21	9321.28	7349.24	1122.04	6191.19	6272.19	4654.14	3942.14	3610.13
NPEPPS	17332.5	16004.4	20735.9	8108.24	9496.27	5271.13	11848.3	9191.27	14419.4	3333.1	4822.12	3701.1	5541.18	5144.15	7819.23	10952.3	13017.4	16841.8	2568.07	4948.12	3814.1	2799.08	3654.1	3869.11
GFER	0	0	0	0	0	0	0	2069.07	0	1651.06	0	0	0	0	0	0	0	0	0	1544.05	0	1569.06	1106.03	0
HNRNPH2	5081.23	5582.27	12097.4	8581.24	8487.25	4670.12	6006.16	4861.15	10072.3	1982.06	1014.05	2037.06	1878.09	2487.07	3298.1	3626.16	11741.3	15986.5	0	0	0	1646.04	0	0
OXCT1	5638.32	5515.17	3950.15	0	2126.08	0	8928.25	3305.1	2899.1	4028.1	1437.06	0	0	0	0	5581.18	5946.19	3215.12	0	1634.07	0	0	0	0
EIF3B	48814.1	42737.1	64139.6	9795.26	14753.4	8175.2	38710	28893.7	44007.1	5066.12	5191.13	5558.14	15898.4	15009.4	15176.4	42300.1	47953.2	62123.5	1564.04	0	2998.07	1908.05	0	0
BID	0	0	0	0	0	0	0	0	466.013	797.025	0	0	0	0	0	0	0	0	0	0	883.027	638.02	0	453.021
ATP5MF	32759.1	35211.1	42402.3	26216.8	28044.9	21172.6	27942.9	20571.6	35532.1	27062.8	24477.8	14018.4	14344.5	13858.4	19935.6	14363.4	40528.2	67289	18021.5	27891.8	19092.6	15900.6	20894.7	24852.8
DLX1	0	0	0	0	2803.09	1592.05	0	0	0	0	0	0	0	0	0	0	2300.08	3650.13	0	0	0	0	0	0
RRP1	0	0	0	2041.07	2707.09	0	1698.05	1426.04	0	0	1581.04	0	0	0	0	0	2719.09	2185.06	0	0	899.029	0	0	0
MARS1	15514.5	17390.7	21624	7020.22	8307.25	7076.3	11809.6	15072.4	28431.8	4925.2	6367.18	3350.11	4981.15	5798.17	5485.18	26271.8	25166.8	35353.6	2823.11	3304.1	3271.09	1955.05	2452.07	2048.07
ARPP19	0	0	0	0	0	0	0	0	0	6658.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1423.06	1214.05	0	0	0	0	0	0	0
HDAC4	1622.06	23530.7	2407.09	1369.05	1809.07	0	1534.06	1538.04	0	0	0	0	0	0	0	1813.07	2411.09	0	0	0	0	0	0	0
EIF6	32512.9	24721.6	34837.9	30989.8	21029.6	14785.4	28102.7	21135.6	39205.1	31294.8	35509	7583.21	18139.5	16624.5	20506.6	12822.4	30427.8	30361.9	14436.4	43953.2	34782.9	28452.8	40996	31291.9
CTBP2	8959.24	13602.4	12640.3	9434.26	13831.4	10211.3	7353.22	6348.19	6746.19	3222.1	3997.1	0	2985.08	3514.08	4186.12	14337.4	13027.4	16110.4	2361.06	986.025	2237.07	0	2677.07	2421.07
PEX3	0	4946.11	4835.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B7	0	4307.16	1319.03	2800.08	2952.09	2157.08	342.008	0	0	0	920.031	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAR1	39080	47721.5	63405.8	5659.17	6995.2	4741.14	29030.8	25717.8	35513.9	2614.07	4386.12	4483.12	9848.3	8234.21	13711.4	42669.1	39353.1	47986.3	0	0	0	0	0	0
CFAP298	2054.08	1633.06	2030.07	0	0	0	1629.05	0	1828.07	0	0	0	0	0	0	2670.1	0	2005.07	0	0	0	0	0	0
RIPK4	3993.09	3121.08	4706.16	0	0	0	2037.04	1949.04	0	0	0	0	0	0	742.021	0	3023.07	0	0	0	0	0	0	0
WDR4	4517.15	0	4277.13	1784.06	2164.07	0	0	0	0	0	0	0	0	0	0	0	0	1619.04	0	0	0	0	0	0
TMEM33	123462	109309	128308	49276.4	75236.2	45130.3	50065.5	47117.3	67344.2	14514.4	14458.4	12120.4	27743.9	28833.9	26295.8	54985.7	81682.6	113053	4501.12	7226.24	5804.19	5292.16	6160.19	7134.21
GEMIN4	33203	31851.9	43074	22775.7	27375.8	17289.5	28754.8	21036.7	33969	7253.2	4184.1	5466.16	11032.3	12606.4	13677.4	34601	52812.7	76549.9	775.022	1866.05	924.031	3661.1	4280.12	0
CORO7	27010.7	23561.6	27688.7	8962.22	14987.4	9269.25	30332.8	21055.6	29949.8	5029.13	7054.18	4212.11	8781.25	8261.2	8357.23	30217.8	28757.8	32041.8	0	0	0	0	0	0
NUP107	89700.3	91987.5	124257	188937	335938	211014	44662.1	38822	54147.3	5477.13	7213.2	6907.17	13563.4	13256.4	14898.4	80668.1	71714.8	89736.4	0	0	0	1331.04	0	0
EEFSEC	5233.13	3533.09	7109.17	0	0	0	0	0	0	0	0	0	0	0	0	4392.11	0	5596.15	0	0	0	0	0	0
EPPK1	246601	194325	324636	18693.5	24986.7	21933.6	27323.8	25857.7	37949.1	6320.15	6660.16	5483.14	14916.4	10451.3	14181.4	36447.9	42692	65047.6	3557.09	3328.09	4800.16	2484.06	3130.08	3689.11
ZNF121	0	0	0	7380.23	9582.29	6915.21	0	0	0	0	0	0	0	0	0	0	0	1076.04	0	0	0	0	0	0
MTPN	24331	16705.8	40039.7	18128.7	37365.6	17804.7	21055.9	19273.8	40900.7	30115.3	30904.3	14503.6	13564.6	10788.4	22856.9	13261.6	36742.6	67590.9	24898	33428.3	30940.4	19597.7	24827.1	25425.1
RAB15	39508.4	0	38883.3	0	49120.7	0	39079.2	29990.9	0	24536.7	0	0	0	18153.6	0	0	44066.4	0	0	0	0	0	0	25015.8
BPIFB4	0	0	0	0	0	0	0	0	17553.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC4	19805.5	12805.4	22298.7	6541.16	12492.4	4458.11	13324.4	8728.27	30641.8	0	1786.06	2656.08	4514.12	7046.18	6077.15	17856.6	17618.5	26563.9	2429.07	1601.05	26310.8	0	0	0
SEC61G	10965.4	10416.4	11442.4	5545.19	7692.29	5099.18	9094.36	6518.21	12191.4	3031.1	2787.09	2056.07	3745.13	3005.11	4033.13	6126.2	17832.6	27035.9	0	2490.08	0	0	1062.04	1803.07
TPI1	0	0	0	13505.5	0	0	0	0	6806.18	2522.1	0	5427.18	3146.12	0	0	0	0	7948.31	0	3103.11	0	0	3079.11	0
EIF3E	14070.4	13763.3	20809.6	4488.12	9907.27	5466.14	10405.3	10740.3	14947.4	0	2464.07	0	6798.18	5570.17	3351.11	13509.3	15954.4	23978.6	1331.04	0	4094.12	0	0	0
SEC61B	21043.6	17685.5	28238.7	20713.6	22284.6	8743.26	19976.6	14487.4	24193.7	10730.3	14187.4	8150.2	7146.19	11274.3	9777.24	14510.4	26038.7	19180.5	4098.1	15337.4	15854.4	7908.22	9963.27	9129.23
MYL6	54262.9	39215	85235	32894.2	38729	22355.5	70750.5	54755.5	109427	24475.6	32695.2	15504.5	18229.4	21817.7	19554.6	46163.5	61272.2	77464.1	14658.3	30126.1	28462.9	21285.7	23298.7	27564.7
ACTB;ACTG1	173000	136609	162281	145483	186617	100359	1826290	2500780	1972630	165316	143999	82641.3	94514.8	79417.3	101469	122917	101237	206917	64455.8	179826	131044	128108	157513	98111.7
EIF4A1	237492	269123	363403	150260	233791	127246	157631	132758	226221	65038.7	69036.8	66114.7	73434.9	96302.3	92974.6	154437	247416	337132	44153.2	68415.7	87499.4	39088	43245	60554.6
RPS20	37143.2	30234.1	58377.7	31002	40165.3	11653.4	34796.1	23927.8	40978.3	19727.6	27176.8	12201.4	13084.4	24284.7	11269.3	35386.2	47338.6	45990.7	10839.3	33694	31494	14131.4	17729.5	19928.6
S100A10	28623.7	27197.7	40691	7759.19	18428.4	0	38649	32746.9	55975.3	0	0	0	6502.16	5621.15	3731.1	12908.3	33228.8	80563	0	0	0	0	0	0
DSTN	36105.2	34655.1	44449.5	32575.1	49289.5	26038.9	29092.9	25582.8	38320.3	24800.8	29526	20128.7	22417.8	19862.7	23942.8	31994	38315.3	53999	22295.7	34527.1	31703	16469.5	20792.7	28209.8
GMFB	3847.14	3925.12	3131.11	3116.1	3996.12	0	3638.12	2802.1	4617.16	1147.03	1935.06	0	2038.06	0	2078.07	0	0	14463.5	0	1284.04	0	0	0	0
SPCS3	0	0	0	0	0	2317.08	0	0	0	0	0	0	0	0	0	0	0	5354.18	0	0	0	0	0	0
SRP54	19127.6	20700.6	33055.9	4964.18	9097.29	5626.2	21339.6	23370.7	34940	6890.23	7287.24	6940.22	14650.5	12636.4	14058.5	32882.2	42488.3	62219.7	0	0	0	1602.06	1213.04	1113.04
RAB2A;RAB2B	0	3639.13	3681.12	0	3267.12	0	3690.12	3538.13	4960.17	0	0	5124.14	1797.06	0	0	0	5102.18	5280.19	2702.07	1574.06	5630.15	1001.04	1568.06	0
RAB5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.01	0	0
RAB10	2281.07	2609.09	0	1102.04	0	1573.05	0	1349.05	2414.07	0	0	546.017	0	1195.04	0	1727.06	0	5182.17	0	0	1616.05	0	0	1096.03
UBE2D2;UBE2D3	35986.1	42778.2	45264.2	35692	52844.6	29479.8	26940.8	22110.6	35395	14803.4	17325.5	13209.4	19553.6	19843.6	23652.7	37421.1	42157.2	46411.3	10080.3	14946.4	19090.5	10570.3	13691.4	12640.3
UBE2M	26564.9	23023.7	18803.4	18964.6	23666.7	12164.4	21784.6	22618.6	23866.8	7880.25	9002.26	3185.08	10247.3	8967.26	9248.25	19037.6	22273.7	23832.7	4718.15	8528.27	7000.23	4601.13	5192.15	5069.13
RAB14	16361.5	15090.4	12170.4	6449.22	10043.3	6518.19	7689.29	5154.16	49410.6	5661.17	4801.16	7420.21	21902.7	4822.13	18675.6	35303.2	17310.5	58885	18683.6	34545.1	4932.13	16474.5	5349.16	25015.8
ACTR3	27134.9	15832.5	19781.6	10544.3	14684.5	6485.19	21620.7	15937.6	24421.8	12843.4	14893.4	6911.19	6760.2	5000.15	9998.28	13818.4	21666.6	23233.7	7814.22	11448.3	8410.25	8855.2	9168.25	11787.3
ACTR2	25985.8	25873.9	22370.7	48418.6	76653.3	45545.6	31191.2	26410.9	13988.5	11706.4	13794.4	7468.22	7816.24	23556.7	8506.29	102089	95882.3	93170.8	5607.18	10016.3	0	9836.33	9994.34	10861.3
COPS2	7085.2	6371.19	9227.28	5439.15	5727.15	3546.09	8345.24	2014.06	8298.23	2190.05	0	0	0	0	0	11385.3	12114.3	10047.3	0	0	0	0	0	0
ARF1;ARF3	37316	29786.8	45208.2	34428.8	39693	13157.3	42628.1	34291.8	50039.2	11279.3	14173.4	7765.19	16098.4	17020.4	16992.4	34186.9	47042.1	29267.8	1745.06	10288.3	9450.25	8502.2	8891.22	2535.09
ABCE1	18853.6	9297.24	17889.6	0	0	0	26535.6	22666.5	29970.7	10142.3	7979.2	6174.15	15239.4	6826.21	15230.4	30857.8	29300.8	34432.8	0	3593.09	5377.12	0	4141.12	0
RAP1A;RAP1B	5441.17	4757.13	7029.2	5110.12	0	1194.04	6360.17	4021.11	10041.3	2023.05	3732.1	0	3010.09	3327.09	858.031	5450.17	8768.21	8266.21	0	3892.12	1179.04	0	0	1078.04
RAP2B	0	0	7945.23	877.03	0	971.032	3787.13	0	6088.2	0	0	0	0	0	0	0	0	6014.19	0	0	0	0	0	0
MAX	0	0	0	0	4659.14	2399.06	0	0	0	0	0	0	0	0	0	0	0	3655.1	0	0	0	0	0	0
RPS3A	6218.27	8051.33	8856.44	4413.19	7023.32	6052.29	5290.24	6327.29	9323.41	3137.15	4573.22	2539.12	0	3563.18	4416.19	4882.22	8597.36	15307.7	2649.11	4364.18	0	2141.11	3055.14	3486.17
RPL26;RPL26L1	0	0	0	14999.4	16392.5	11667.3	0	0	0	12121.3	11023.3	10882.3	9375.23	9718.28	9118.25	10755.3	11966.3	12121.3	5958.17	8959.25	13187.3	6549.18	8050.21	7807.2
PSME3	6536.26	7689.21	10204.3	28464.8	34497.9	24903.7	8864.25	7282.19	10674.3	385.011	2264.06	1844.06	3530.1	3255.09	4374.13	24343.7	36260	52276.6	0	0	0	0	0	0
RPL15	140961	145525	217385	52658.2	81934.4	51122	61642.4	49074.9	79602.2	25102	22735.8	19346.7	35337.5	33249.2	32034.1	60331.3	97235.7	136186	15666.7	20191.8	21804.8	12153.4	14682.6	17008.7
MAGOH	22597.6	23423.7	27628.8	67239.9	90292.8	46144.3	17732.6	15152.5	21723.6	0	0	0	13158.4	8933.27	9143.26	39253.2	34481.9	40078.3	0	0	0	0	0	0
RPL27	10588.3	13233.3	10681.3	9479.22	14151.3	4431.11	9170.23	7363.18	9230.24	4815.11	3633.09	5404.14	6916.16	4070.11	6199.15	7396.18	12589.3	12018.3	0	0	0	0	0	0
